removed_interest,aud_low_est,aud_high_est,date_aud_test,seen_in_CB,unique_user,unique_advertiser
Evolutionary psychology,,,,yes,7,5
Excessive daytime sleepiness,1100000,1300000,2021-12-23,yes,10,14
Eye movement desensitization and reprocessing,112000,131800,2021-12-23,yes,2,3
Faith,20600000,24200000,2022-01-07,yes,86,87
FaithGateway,,,,yes,1,1
Falling in love,11760150,13835470,2021-10-29,yes,2,3
Family History Center (LDS Church),52177,61384,2021-10-29,yes,2,4
Family of Barack Obama,2200640,2588988,2021-10-29,yes,1,1
Family therapy,,,,yes,4,4
Fast Company (magazine),3676260,4325011,2021-10-29,yes,30,30
Fasting,,,,yes,16,14
Fat,,,,yes,51,27
Fellowship Church,,,,yes,2,3
Feminism,105382720,123979670,2021-11-19,yes,200,143
Feminist movement,,,,yes,9,9
Feng shui,48286450,56807588,2021-10-29,yes,3,6
Fertility awareness,3000000,3600000,2021-12-23,yes,4,8
Fibromyalgia awareness,4300000,5000000,2021-12-23,yes,27,33
Fighter pilot,,,,yes,1,2
Fireproof (film),4709820,5540964,2021-10-29,yes,3,7
First Bank of Nigeria Limited,49121,57789,2021-10-29,no,,
First Communion,,,,yes,1,1
Fit Pregnancy,,,,yes,2,8
Flag,,,,yes,6,5
Flag of the United States,11687250,13749705,2021-10-29,yes,49,64
Focus on the Family,4800000,5600000,2022-01-07,yes,28,97
Follow Your Heart,,,,yes,4,3
Food allergy,,,,yes,9,10
For King & Country (band),8900000,10500000,2022-01-07,yes,17,38
Forgiveness,14423720,16969082,2021-10-29,no,,
Fortune (magazine),6715680,7900800,2021-10-29,yes,6,7
Fortune-telling,12155240,14300282,2021-10-29,yes,1,1
Fox & Friends,8600000,10100000,2022-01-07,yes,33,38
Fox Business Network,14414370,16958082,2021-10-29,yes,20,14
Fox Nation,,,,yes,4,2
Fox News Channel,61890310,72812129,2021-10-29,yes,227,250
Fox News Live,48160,56658,2021-10-29,no,,
Fox News Radio,2700000,3200000,2022-01-07,yes,2,3
Fox News Sunday,4700000,5500000,2022-01-07,yes,3,4
Fred Hutchinson Cancer Research Center,,,,yes,4,4
Free market,28091680,33049035,2021-10-29,yes,6,6
Free will,,,,yes,4,3
Freedom of speech,22220408,26131200,2022-02-08,yes,17,17
FreedomWorks,,,,yes,7,3
Freethought,9196800,10819764,2021-10-29,yes,5,3
Fresenius (company),,,,yes,1,1
Friends of the Earth,2098954,2469357,2021-10-29,yes,16,24
"From my cold, dead hands",,,,yes,6,5
Full Frontal with Samantha Bee,,,,yes,14,9
Gabby Giffords,,,,yes,5,3
Gabrielle Bernstein,419525,493558,2021-10-29,yes,2,3
Gagra choli,7568950,8904647,2021-10-29,no,,
Garrett-Evangelical Theological Seminary,3339,3928,2021-10-29,no,,
Gautama Buddha,,,,yes,2,2
Gavin Newsom,26108830,30716270,2021-10-29,yes,15,3
Gay & Lesbian Victory Fund,,,,yes,7,9
Gay bar,3000000,3500000,2022-01-07,yes,9,24
Gay Life,,,,yes,5,10
Gay News,,,,yes,28,35
Gay pride,22100000,26000000,2022-01-07,yes,176,341
Gay Star News,,,,yes,6,9
Gay Times,16687,19631,2022-01-07,yes,5,7
Gay village,,,,yes,3,5
Gay-friendly,,,,yes,4,9
Gay–straight alliance,,,,yes,2,2
"Gay, Lesbian and Straight Education Network",,,,yes,1,1
"Gay, Lesbian, Bisexual, Transgender, Straight Alliance",,,,yes,3,2
Gender equality,3000000,3500000,2022-01-07,yes,50,37
Gender identity,,,,yes,5,6
Gender variance,,,,yes,1,1
Gender-neutral language,,,,yes,2,2
Gender-specific and gender-neutral pronouns,3300000,3900000,2022-01-07,yes,1,5
Genderqueer,6600000,7800000,2022-01-07,yes,74,115
General Conference of Seventh-day Adventists,,,,yes,1,3
Genetic disorder,1500000,1700000,2021-12-23,yes,6,4
George W. Bush,,,,yes,6,4
Geraldo Rivera,,,,yes,1,1
Ghost,72940170,85811964,2021-10-29,yes,21,21
Girl power,20500000,24100000,2022-01-07,yes,2,2
GLAAD,886600,1000000,2022-01-07,yes,25,22
Global warming,,,,yes,32,20
Global warming hiatus,,,,yes,2,1
Glossary of Islam,,,,yes,2,13
Gluten-free diet,,,,yes,172,230
"Gluten-free, casein-free diet",,,,yes,3,4
Gluteus maximus muscle,,,,yes,4,2
GMA News and Public Affairs,45017760,52962070,2021-10-29,no,,
GNR - Guarda Nacional Republicana,9598,11291,2021-10-29,no,,
God,49700000,58500000,2022-01-07,yes,143,130
God in Christianity,5900000,6900000,2022-01-07,yes,34,37
God in Islam,,,,yes,2,6
God the Father,,,,yes,8,11
GOD TV,,,,yes,2,3
Goddess,34902338,41045150,2022-02-08,yes,6,4
Godtube,,,,yes,5,10
GodVine,,,,yes,9,8
Goodluck Jonathan,,,,yes,2,1
Gospel,,,,yes,32,22
Gospel music,387926240,456383811,2021-10-29,yes,499,320
Gospel of John,,,,yes,1,1
Gospel of Luke,,,,yes,1,2
Gospel of Matthew,,,,yes,1,2
Grant Cardone,11914230,14016741,2021-10-29,yes,5,9
Greater Than AIDS,,,,yes,3,5
Green New Deal,,,,yes,23,6
